,Name,Location,Price,Kms_driven,Fuel_type,Year,Company
224,Maruti Suzuki Baleno,Pune,627499,40902, Petrol ,2017,Maruti
225,Maruti Suzuki Alto,Pune,288399,11057, Petrol ,2015,Maruti
226,Maruti Suzuki Baleno,Pune,573999,72505, Petrol ,2016,Maruti
227,Hyundai Creta -,Pune,1373699,31338, Petrol ,2018,Hyundai
228,Maruti Suzuki Alto,Pune,279799,28674, Petrol ,2016,Maruti
229,Hyundai Elite i20,Pune,658199,25416, Petrol ,2018,Hyundai
230,Hyundai Grand i10,Pune,465499,14765, Petrol ,2016,Hyundai
231,Toyota Etios -,Pune,563999,60380, Diesel ,2015,Toyota
232,Hyundai Santro -,Chennai,59000,85000, Petrol,2001,Hyundai
233,Hyundai Getz -,Chennai,119000,73000, Petrol,2006,Hyundai
234,Hyundai Santro Xing,Chennai,69000,85000, Petrol,2004,Hyundai
235,Hyundai Santro -,Chennai,89000,85000, Petrol,2002,Hyundai
236,Ford Figo -,Chennai,129000,86000, Diesel,2012,Ford
237,Toyota Fortuner 2.8,Lucknow,2931000,55000, Diesel,2019,Toyota
238,Mahindra Bolero ZLX,Chennai,790000,79950, Diesel,2018,Mahindra
239,Fiat Linea Emotion,Chennai,200000,75000, Diesel,2009,Fiat
240,Maruti Suzuki Baleno,Pune,718699,19775, Petrol ,2018,Maruti
241,Tata Tiago -,Pune,543399,28495, Petrol ,2018,Tata
242,Hyundai Creta -,Pune,1780399,28344, Diesel ,2020,Hyundai
243,Toyota Glanza -,Pune,757999,10801, Petrol ,2020,Toyota
244,Tata Nexon -,Pune,1013999,4365, Petrol ,2019,Tata
245,Maruti Suzuki Celerio,Pune,439999,53266, Diesel ,2016,Maruti
246,Maruti Suzuki S,Pune,839199,50866, Diesel ,2018,Maruti
247,Maruti Suzuki Alto,Pune,421799,24230, Petrol ,2019,Maruti
248,Maruti Suzuki Baleno,Pune,580599,64275, Petrol ,2016,Maruti
249,Hyundai Venue -,Pune,986799,8924, Petrol ,2019,Hyundai
250,MG Motors Hector,Pune,2057399,12208, Petrol ,2021,MG
251,Honda City V,Pune,1082299,26956, Petrol ,2018,Honda
252,Hyundai Grand i10,Pune,576999,12223, Petrol ,2017,Hyundai
253,Hyundai Grand i10,Pune,533199,23960, Petrol ,2016,Hyundai
254,Maruti Suzuki Wagon,Pune,473299,33687, Petrol ,2015,Maruti
255,MG Motors Hector,Pune,1838399,24887, Petrol ,2020,MG
256,Toyota Innova 2.5,Mumbai,800000,74000, Diesel ,2013,Toyota
257,Nissan Micra XE,Bhubaneswar,199000,40000, Petrol,2011,Nissan
258,Hyundai Creta 1.6,Pune,1750000,45000, Diesel,2020,Hyundai
259,Maruti Suzuki Swift,Chennai,595000,41000, Diesel,2018,Maruti
260,BMW 3 Series,Mumbai,1890000,61000, Diesel ,2015,BMW
261,Jaguar XF 2.2,Mumbai,2150000,20000, Diesel ,2014,Jaguar
262,Hyundai Verna Fluidic,Mumbai,699000,26000, Petrol ,2015,Hyundai
263,Hyundai Grand i10,Pune,451799,71423, Petrol ,2015,Hyundai
264,Hyundai Grand i10,Pune,446999,34095, Petrol ,2015,Hyundai
265,Maruti Suzuki Wagon,Pune,470799,32658, Petrol ,2016,Maruti
266,Maruti Suzuki Ignis,Pune,511799,33166, Petrol ,2017,Maruti
267,Maruti Suzuki Wagon,Chennai,399899,31284, Petrol ,2014,Maruti
268,Maruti Suzuki Wagon,Pune,375999,66090, Petrol ,2015,Maruti
